   x_i   Mx_i   My_i   Mz_i   Sy_i   Sz_i
0.00 0.00000 0.00000 0.00000 0.00000 0.00000 
0.03 2.73594 -0.76240 1.56315 112.82229 55.02711 
0.06 5.47188 -3.04960 6.25261 225.64458 110.05422 
0.08 8.20782 -6.86161 14.06838 338.46687 165.08132 
0.11 10.94376 685.80276 -1406.10404 -68220.23136 -33273.23003 
0.14 13.67970 1607.04157 -3294.92350 -68107.40906 -33218.20292 
0.17 16.41564 2526.75557 -5180.61665 -67994.58677 -33163.17582 
0.19 19.15158 3444.94477 -7063.18350 -67881.76448 -33108.14871 
0.22 21.88752 4361.60917 -8942.62404 -67768.94219 -33053.12160 
0.25 24.62347 5276.74877 -10818.93828 -67656.11990 -32998.09449 
0.28 27.35941 6190.36357 -12692.12620 -67543.29761 -32943.06738 
0.30 30.09535 7102.45356 -14562.18783 -67430.47532 -32888.04027 
0.33 32.83129 8013.01876 -16429.12315 -67317.65303 -32833.01317 
0.36 35.56723 8922.05915 -18292.93216 -67204.83074 -32777.98606 
0.39 38.30317 9829.57475 -20153.61487 -67092.00844 -32722.95895 
0.42 41.03911 10735.56554 -22011.17127 -66979.18615 -32667.93184 
0.44 43.77505 11640.03153 -23865.60136 -66866.36386 -32612.90473 
0.47 46.51099 12542.97272 -25716.90515 -66753.54157 -32557.87763 
0.50 49.24693 13444.38911 -27565.08264 -66640.71928 -32502.85052 
0.53 51.98287 14344.28070 -29410.13382 -66527.89699 -32447.82341 
0.55 54.71881 15242.64748 -31252.05869 -66415.07470 -32392.79630 
0.58 57.45475 16139.48947 -33090.85726 -66302.25241 -32337.76919 
0.61 60.19069 17034.80665 -34926.52952 -66189.43012 -32282.74209 
0.64 62.92663 17928.59903 -36759.07547 -66076.60782 -32227.71498 
0.67 65.66257 18820.86661 -38588.49512 -65963.78553 -32172.68787 
0.69 68.39851 19711.60940 -40414.78847 -65850.96324 -32117.66076 
0.72 71.13445 20600.82737 -42237.95550 -65738.14095 -32062.63365 
0.75 73.87040 21488.52055 -44057.99624 -65625.31866 -32007.60655 
0.78 76.60634 22374.68893 -45874.91067 -65512.49637 -31952.57944 
0.80 79.34228 23259.33250 -47688.69879 -65399.67408 -31897.55233 
0.83 82.07822 24142.45128 -49499.36060 -65286.85179 -31842.52522 
0.86 84.81416 25024.04525 -51306.89611 -65174.02950 -31787.49811 
0.89 87.55010 25904.11442 -53111.30532 -65061.20720 -31732.47101 
0.91 90.28604 26782.65880 -54912.58822 -64948.38491 -31677.44390 
0.94 93.02198 27659.67837 -56710.74481 -64835.56262 -31622.41679 
0.97 95.75792 28535.17313 -58505.77510 -64722.74033 -31567.38968 
1.00 98.49386 29409.14310 -60297.67908 -64609.91804 -31512.36257 
1.03 101.22980 30281.58827 -62086.45675 -64497.09575 -31457.33546 
1.05 103.96574 31152.50863 -63872.10812 -64384.27346 -31402.30836 
1.08 106.70168 32021.90420 -65654.63319 -64271.45117 -31347.28125 
1.11 109.43762 32889.77496 -67434.03195 -64158.62888 -31292.25414 
1.14 112.17356 33756.12092 -69210.30440 -64045.80658 -31237.22703 
1.16 114.90950 34620.94208 -70983.45055 -63932.98429 -31182.19992 
1.19 117.64544 35484.23844 -72753.47039 -63820.16200 -31127.17282 
1.22 120.38138 36346.01000 -74520.36393 -63707.33971 -31072.14571 
1.25 123.11733 37206.25676 -76284.13116 -63594.51742 -31017.11860 
1.27 125.85327 38064.97871 -78044.77208 -63481.69513 -30962.09149 
1.30 128.58921 38922.17587 -79802.28670 -63368.87284 -30907.06438 
1.33 131.32515 39777.84822 -81556.67502 -63256.05055 -30852.03728 
1.36 4883.89882 41274.04301 -82994.78966 -103341.86242 51622.40388 
1.39 4886.63477 44410.50772 -83629.02121 -103229.04013 51677.43099 
1.41 4889.37071 47545.44764 -84260.12646 -103116.21783 51732.45809 
1.44 4892.10665 50678.86275 -84888.10539 -103003.39554 51787.48520 
1.47 4894.84259 53810.75306 -85512.95803 -102890.57325 51842.51231 
1.50 4897.57853 56509.36203 -85234.16258 38333.50471 121898.32453 
1.52 4900.31447 57751.14065 -81916.88587 38446.32700 121953.35164 
1.55 4903.05041 58991.39446 -78596.48286 38559.14929 122008.37875 
1.58 4905.78635 60230.12348 -75272.95354 38671.97158 122063.40586 
1.61 4908.52229 61467.32769 -71946.29791 38784.79387 122118.43297 
1.63 -1247.20650 62180.45203 -68871.38312 91017.68521 15311.48229 
1.66 -1244.47056 60453.46124 -66982.72200 91130.50750 15366.50939 
1.69 -1241.73462 58724.94564 -65090.93457 91243.32979 15421.53650 
1.72 -1238.99868 56994.90525 -63196.02083 91356.15208 15476.56361 
1.75 -1236.26274 55263.34005 -61297.98079 91468.97437 15531.59072 
1.77 -1233.52680 53530.25005 -59396.81445 91581.79666 15586.61783 
1.80 -1230.79086 51795.63525 -57492.52180 91694.61896 15641.64493 
1.83 -1228.05492 50059.49565 -55585.10284 91807.44125 15696.67204 
1.86 -1225.31898 48321.83125 -53674.55758 91920.26354 15751.69915 
1.88 -1222.58304 46582.64205 -51760.88601 92033.08583 15806.72626 
1.91 -1219.84710 44841.92804 -49844.08814 92145.90812 15861.75337 
1.94 -1217.11116 43099.68924 -47924.16396 92258.73041 15916.78047 
1.97 -1214.37522 41355.92563 -46001.11347 92371.55270 15971.80758 
2.00 -1211.63928 39610.63722 -44074.93668 92484.37499 16026.83469 
2.02 -1208.90334 37863.82401 -42145.63358 92597.19728 16081.86180 
2.05 -1206.16740 36115.48600 -40213.20418 92710.01958 16136.88891 
2.08 -1203.43145 34365.62319 -38277.64847 92822.84187 16191.91602 
